codigo,descricao,is_st,is_transferencia
2907,RETORNO SIMBOLICO DE MERCADORIA REMETIDA PARA DEPOSITO FECH,False,False
2908,ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO,False,False
2909,RETORNO DE BEM REMETIDO POR CONTA DE CONTRATO DE COMODATO,False,False
2910,"ENTRADA DE BONIFICACAO, DOACAO OU BRINDE",False,False
2911,ENTRADA DE AMOSTRA GRATIS,False,False
2912,ENTRADA DE MERCADORIA OU BEM RECEBIDO PARA DEMONSTRACAO,False,False
2913,RETORNO DE MERCADORIA OU BEM REMETIDO PARA DEMONSTRACAO,False,False
2914,RETORNO DE MERCADORIA OU BEM REMETIDO PARA EXPOSICAO OU FEIR,False,False
2915,ENTRADA DE MERCADORIA OU BEM RECEBIDO PARA CONSERTO OU REPAR,False,False
2916,RETORNO DE MERCADORIA OU BEM REMETIDO PARA CONSERTO OU REPAR,False,False
2917,ENTRADA DE MERCADORIA RECEBIDA EM CONSIGNACAO MERCANTIL OU I,False,False
2918,DEVOLUCAO DE MERCADORIA REMETIDA EM CONSIGNACAO MERCANTIL OU,False,False
2919,DEVOLUCAO SIMBOLICA DE MERCADORIA VENDIDA OU UTILIZADA EM PR,False,False
2920,ENTRADA DE VASILHAME OU SACARIA,False,False
2921,RETORNO DE VASILHAME OU SACARIA,False,False
2922,LANC. EFETUADO A TIT. FATUR. DECOR. DE COMPRA P/ RECEB FUTUR,False,False
2923,"ENTRADA DE MERCADORIA RECEBIDA DO VENDEDOR REMETENTE, EM VEN",False,False
2924,ENTRADA PARA INDUSTRIALIZACAO POR CONTA E ORDEM DO ADQUIRENT,False,False
2925,RETORNO DE MERCADORIA REMETIDA PARA INDUSTRIALIZACAO POR CON,False,False
2932,AQUISICAO DE SERVICO DE TRANSPORTE INICIADO EM UNIDADE DA FE,False,False
2933,AQUISICAO DE SERVICO TRIBUTADO PELO ISSQN,False,False
2949,OUTRA ENTRADA DE MERC. OU PRESTACAO DE SERV. NAO ESPECIFIC.,False,False
3000,ENTRADAS OU AQUISICOES DE SERVICOS DO EXTERIOR,False,False
3100,"COMPRAS PARA INDUSTRIALIZACAO, COMERCIALIZACAO OU PRESTACAO",False,False
3101,COMPRA PARA INDUSTRIALIZACAO,False,False
3102,IMPORTAÇÃO,False,False
3126,COMPRA PARA UTILIZACAO NA PRESTACAO DE SERVICO,False,False
3127,COMPRA PARA INDUSTRIALIZACAO SOB O REGIME DEDRAWBACK,False,False
3200,"DEVOLUCOES DE VENDAS DE PRODUCAO PROPRIA, DE TERCEIROS OU AN",False,False
3201,DEVOLUCAO DE VENDA DE PRODUCAO DO ESTABELECIMENTO,False,False
3202,DEVOLUCAO DE VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TE,False,False
3205,ANULACAO DE VALOR RELATIVO A PRESTACAO DE SERVICO DE COMUNIC,False,False
3206,ANULACAO DE VALOR RELATIVO A PRESTACAO DE SERVICO DE TRANSPO,False,False
3207,ANULACAO DE VALOR RELATIVO A VENDA DE ENERGIA ELETRICA,False,False
3211,DEVOLUCAO DE VENDA DE PRODUCAO DO ESTABELECIMENTO SOB O REGI,False,False
3250,COMPRAS DE ENERGIA ELETRICA,False,False
3251,COMPRA DE ENERGIA ELETRICA PARA DISTRIBUICAO OU COMERCIALIZA,False,False
3300,AQUISICOES DE SERVICOS DE COMUNICACAO,False,False
3301,AQUISICAO DE SERVICO DE COMUNICACAO PARA EXECUCAO DE SERVICO,False,False
3350,AQUISICOES DE SERVICOS DE TRANSPORTE,False,False
3351,AQUISICAO DE SERVICO DE TRANSPORTE PARA EXECUCAO DE SERVICO,False,False
3352,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO INDUS,False,False
3353,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO COMER,False,False
3354,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO DE PR,False,False
3355,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO DE GE,False,False
3356,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO DE PR,False,False
3500,ENTRADAS DE MERCADORIAS REMETIDAS COM FIM ESPECIFICO DE EXPO,False,False
3503,DEVOLUCAO DE MERCADORIA EXPORTADA QUE TENHA SIDO RECEBIDA CO,False,False
3550,OPERACOES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO,False,False
3551,COMPRA DE BEM PARA O ATIVO IMOBILIZADO,False,False
3553,DEVOLUCAO DE VENDA DE BEM DO ATIVO IMOBILIZADO,False,False
3556,COMPRA DE MATERIAL PARA USO OU CONSUMO,False,False
3650,"ENTRADAS DE COMBUSTIVEIS, DERIVADOS OU NAO DE PETROLEO E LUB",False,False
3651,COMPRA DE COMBUSTIVEL OU LUBRIFICANTE PARA INDUSTRIALIZACAO,False,False
3652,COMPRA DE COMBUSTIVEL OU LUBRIFICANTE PARA COMERCIALIZACAO,False,False
3653,COMPRA DE COMBUSTIVEL OU LUBRIFICANTE POR CONSUMIDOR OU USUA,False,False
3900,OUTRAS ENTRADAS DE MERCADORIAS OU AQUISICOES DE SERVICOS,False,False
3930,LANCAMENTO EFETUADO A TITULO DE ENTRADA DE BEM SOB AMPARO DE,False,False
3949,OUTRA ENTRADA DE MERCADORIA OU PRESTACAO DE SERVICO NAO ESPE,False,False
5000,SAIDAS OU PRESTACOES DE SERVICOS PARA O ESTADO,False,False
5100,VENDAS DE PRODUCAO PROPRIA OU DE TERCEIROS,False,False
5101,VENDA DE PRODUCAO DO ESTABELECIMENTO,False,False
5102,VENDA DE MERC. ADQUIRIDA OU RECEBIDA DE TERCEIROS,False,False
5103,"VENDA DE PRODUCAO DO ESTABELECIMENTO, EFETUADA FORA DO ESTAB",False,False
5104,"VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS, EFET",False,False
5105,VENDA DE PRODUCAO DO ESTABELECIMENTO QUE NAO DEVA POR ELE T,False,False
5106,"VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS, QUE",False,False
5109,"VENDA DE PRODUCAO DO ESTABELECIMENTO, DESTINADA A ZONA FRANC",False,False
5110,"VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS, DEST",False,False
5111,VENDA DE PRODUCAO DO ESTABELECIMENTO REMETIDA ANTERIORMENTE,False,False
5112,VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS REMET,False,False
5113,VENDA DE PRODUCAO DO ESTABELECIMENTO REMETIDA ANTERIORMENTE,False,False
5114,VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS REME,False,False
5115,"VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS, RECE",False,False
5116,VENDA DE PRODUCAO DO ESTABELECIMENTO ORIGINADA DE ENCOMENDA,False,False
5117,"VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS, ORIG",False,False
5118,VENDA DE PRODUCAO DO ESTABELECIMENTO ENTREGUE AO DESTINATARI,False,False
